Unit Name,Data Fellow,NWS,NWS ID,Unit Code,Type,Street Address,City,County,Zip,Driving miles
Lychner,Ali,Houston Intercontinental Airport (KIAH),KIAH,AJ,State Jail,2350 Atascocita Road,Humble,Harris,77396,
Byrd,Ali,Huntsville Municipal Airport (KUTS),KUTS,DU,Prison,21 FM 247,Huntsville,Walker,77320,
Ellis,Karina,Huntsville Municipal Airport (KUTS),KUTS,E1,Prison,1697 FM 980,Huntsville,Walker,77343,
Estelle,Karina,Huntsville Municipal Airport (KUTS),KUTS,E2,Prison,264 FM 3478,Huntsville,Walker,77320-3320,
Goree,Karina,Huntsville Municipal Airport (KUTS),KUTS,GR,Prison,7405 Hwy 75 South,Huntsville,Walker,77344,
Holliday,Karina,Huntsville Municipal Airport (KUTS),KUTS,NF,Prison,295 IH-45 North,Huntsville,Walker,77320-8443,
Huntsville,Karina,Huntsville Municipal Airport (KUTS),KUTS,HV,Prison,815 12th Street,Huntsville,Walker,77348,
Wynne,Karina,Huntsville Municipal Airport (KUTS),KUTS,WY,Prison,810 FM 2821,Huntsville,Walker,77349,
Allred,Karina,Sheppard Air Force Base (KSPS),KSPS,JA,Prison,2101 FM 369 North,Iowa Park,Wichita,76367,
Lindsey,Karina,Bridgeport Municipal Airport (KXBP),KXBP,LN,Private State Jail,1620 FM 3344,Jacksboro,Jack,76458,
Goodman,Karina,Jasper County-Bell Field Airport (KJAS),KJAS,GG,Prison/ISF,349 Private Road 8430,Jasper,Jasper,75951,
Connally,Karina,Kenedy Regional Airport (K2R9),K2R9,CY,Prison,899 FM 632,Kenedy,Karnes,78119,
Kyle,Karina,San Marcos Municipal Airport (KHYI),KHYI,KY,Private Prison,23001 IH-35,Kyle,Hays,78640,
Smith,Karina,Lamesa Municipal Airport (KLUV),KLUV,SM,Prison,1313 CR 19,Lamesa,Dawson,79331-1898,
Polunsky,Karina,"Conroe, Montgomery County Airport (KCXO)",KCXO,TL,Prison,3872 FM 350 South,Livingston,Polk,77351,
Coleman,Karina,"San Marcos, San Marcos Municipal Airport (KHYI)",KHYI,LC,Private Prison,1400 Industrial Blvd,Lockhart,Caldwell,78644,
Yellow,Karina,"Crockett, Houston County Airport (KDKR)",KDKR,EA,Prison,2665 Jovian Motley Boulevard,Lovelady,Houston,75851,
Montford,Karina,"Lubbock, Lubbock International Airport (KLBB)",KLBB,JM,Psychiatric,8602 Peach Street,Lubbock,Lubbock,79404,
Hobby,Karina,"Waco, Mc Gregor Executive Airport (KPWG)",KPWG,HB,Prison,742 FM 712,Marlin,Falls,76661,
Marlin,Karina,"Waco, Mc Gregor Executive Airport (KPWG)",KPWG,N1,Prison,2893 State Hwy 6,Marlin,Falls,76661-6588,
Ferguson,Karina,"Huntsville, Huntsville Municipal Airport (KUTS)",KUTS,FE,Prison,12120 Savage Drive,Midway,Madison,75852,
Luther,Karina,Navasota Municipal Airport (K60R),K60R,P2,Prison,1800 Luther Drive,Navasota,Grimes,77868,
