unit,region,notes
stiles,r3,temp and hi_wc same on multiple logs
vance,r3,"Name coded as ""Chumeuba"" hard to distinguish"
young,r3,"Name we code as ""S. Martinez"" hard to distinguish"
young,r3,"Name we code as ""Hanlon, M"" hard to distinguish"
young,r3,"Name we code as ""Toma"" hard to distinguish"
young,r3,"Lots of Williams? ""JWilliam"" ""JaWilliam"" ""Ty Williams"" I think JWilliam and JaWilliam might be the same"
briscoe,r4,Most corrections are for legibility.
briscoe,r4,"temp at 4:30 on July 24, 2023, seems to be corrected to 104 from 106"
briscoe,r4,Walker always had a person corrected because someone writes their name after the signature
briscoe,r4,Weird symbol after humidity during Mendoza shift (6:30 am - 5:30 pm) on 7/27/2023
briscoe,r4,"I. Martinez', who appears first at 8:30 pm on 7/27/2023, is pretty Illegible"
briscoe,r4,A strikethrough character is used for windspeed(?) from 6:30 pm 7/28/23 to 7/29/23 5:30 am
cotulla,r4,"There are many entries where hi_wc is the same as humid, which is probably from human error. Seems correlated with E DeLeon entries."
cotulla,r4,"On 7/25/2023, a ""G. Guzman"" appears before ""Guzman,"" so they're probably the same person"
cotulla,r4,12:30 a.m. temp on 7/26/2023 noted with a percent sign
cotulla,r4,Two numbers placed for wind from 2:30-4:30 on 7/26/2023
cotulla,r4,"""Dp69"" added with temp on 7/28/2023 from 10:30-11:30 p.m. Also used for the majority in temp values on 7/29/2023"
cotulla,r4,wind in wrong column from 12:30-5:30 a.m. on 7/29/2023
cotulla,r4,hi_wc values crossed out from 6:30-9:30 a.m. on 7/29/2023
cotulla,r4,"""Jones S"" and ""Jones"" are probably the same person, but he or she signed differently starting on 7/29/2023"
cotulla,r4,"""Garcia"" and ""M. Garcia"" are probably different people because they have different handwriting"
cotulla,r4,wc noted with hi from 2:30-9:30 p.m. on 7/31/2023
dominguez,r4,"""Garcia R"" and ""Garcia"" are probably the same person, based on the handwriting."
dominguez,r4,"""Rohmer"" is probably spelt differently"
dominguez,r4,"""Mendoza"" and ""Mendoza A"" are probably the same person, just sometimes uses either to record their name."
stockton,r4-fort,Range used for many wind entries in Fort Stockton; choose to use upper value
