,,,,ICS Initiated,,ICS Deactivated,,,
Initial Date of Extreme Temperature,ICS Implementation Date,County,Unit Affected,Date ,Time,Date,Time,,
6/13/2023,6/15/2023,Frio,Briscoe,6/15/2023,1539,7/3/2023,800,,
6/13/2023,6/15/2023,La Salle ,Cotulla,6/15/2023,1620,7/3/2023,930,,
6/13/2023,6/15/2023,Hidalgo,Lopez ,6/15/2023,1700,6/29/2023,1800,,
6/13/2023,6/15/2023,Hidalgo,Segovia,6/15/2023,1700,6/29/2023,1800,,
6/14/2023,6/16/2023,Duval,Glossbrenner,6/16/2023,1330,6/29/2023,930,,
6/14/2023,6/17/2023,Houston,Wainwright,6/17/2023,1600,6/23/2023,1500,,
6/15/2023,6/17/2023,Madison,Ferguson,6/17/2023,1530,6/22/2023,1530,,
6/15/2023,6/18/2023,Fort Bend,Scott,6/18/2023,1253,6/20/2023,1253,,
6/15/2023,6/18/2023,Fort Bend,Jester III,6/18/2023,1253,6/20/2023,1253,,
6/15/2023,6/18/2023,Fort Bend,Vance,6/18/2023,1253,6/20/2023,1253,,
6/17/2023,6/19/2023,Falls,Hobby,6/19/2023,1900,6/30/2023,1700,,
6/17/2023,6/19/2023,Falls,Marlin,6/19/2023,1900,6/30/2023,1700,,
6/19/2023,6/21/2023,Brown,Havins,6/21/2023,1430,6/23/2023,900,,
6/17/2023,6/20/2023,Coryell,Crain ,6/20/2023,1630,6/23/2023,900,,
6/17/2023,6/20/2023,Coryell,Hilltop,6/20/2023,1659,6/23/2023,900,,
6/17/2023,6/20/2023,Coryell,Hughes,6/20/2023,1630,6/23/2023,900,,
6/17/2023,6/20/2023,Coryell,Mountain View,6/20/2023,1659,6/23/2023,900,,
6/17/2023,6/20/2023,Coryell,Murray,6/20/2023,1630,6/23/2023,900,,
6/17/2023,6/20/2023,Coryell,Woodman,6/20/2023,1630,6/23/2023,900,,
6/18/2023,6/20/2023,Bexar,Dominguez,6/20/2023,1300,6/22/2023,1830,,
6/18/2023,6/22/2023,Walker,Byrd,6/22/2023,30,6/23/2023,1538,,
6/19/2023,6/21/2023,Mitchell,Wallace,6/21/2023,1300,6/22/2023,1830,,
6/19/2023,6/21/2023,Pecos,Lynaugh,6/21/2023,1700,6/29/2023,1530,,
6/19/2023,6/21/2023,Pecos,Ft. Stockton,6/21/2023,1700,6/29/2023,1530,,
6/19/2023,6/21/2023,Lubbock ,Montford/Trustee Camp,6/21/2023,1500,6/22/2023,2019,,
6/20/2023,6/23/2023,Walker,Huntsville,6/23/2023,812,6/23/2023,1635,,
6/23/2023,6/26/2023,Fort Bend,Scott,6/26/2023,1630,6/28/2023,900,,
6/23/2023,6/26/2023,Fort Bend,Jester III,6/26/2023,1630,6/28/2023,900,,
6/23/2023,6/26/2023,Fort Bend,Vance,6/26/2023,1630,6/28/2023,900,,
6/23/2023,6/25/2023,Madison,Ferguson,6/25/2023,1530,6/30/2023,900,,
6/23/2023,6/25/2023,Houston,Wainwright,6/25/2023,1530,6/30/2023,945,,
6/23/2023,6/26/2023,Walker,Goree,6/26/2023,1300,6/29/2023,1108,,
6/24/2023,6/27/2023,Walker,Holliday,6/27/2023,859,6/29/2023,1108,,
6/24/2023,6/27/2023,Walker,Byrd,6/27/2023,930,6/29/2023,1108,,
6/24/2023,6/27/2023,Walker,Wynne,6/27/2023,859,6/29/2023,1108,,
6/26/2023,6/27/2023,Walker,Huntsville,6/27/2023,859,6/29/2023,1108,,
6/24/2023,6/27/2023,Mitchell,Wallace,6/27/2023,1400,6/30/2023,700,,
6/25/2023,6/28/2023,Wichita,Allred,6/28/2023,1400,6/30/2023,1704,,
6/25/2023,6/28/2023,Brown,Havins,6/28/2023,1730,6/30/2023,1615,,
6/25/2023,6/28/2023,Stephens,Sayle,6/28/2023,1735,6/29/2023,1730,,
7/6/2023,7/8/2023,El Paso,Sanchez,7/8/2023,1832,7/9/2023,1930,,
7/7/2023,7/10/2023,Houston,Wainwright,7/10/2023,1715,7/24/2023,1255,,
7/8/2023,7/10/2023,Madison,Ferguson,7/10/2023,1630,7/24/2023,800,,
7/9/2023,7/12/2023,Fort Bend,Scott,7/12/2023,1618,7/21/2023,1800,,
7/9/2023,7/12/2023,Fort Bend,Jester III,7/12/2023,1618,7/21/2023,1800,,
7/9/2023,7/12/2023,Fort Bend,Vance,7/12/2023,1618,7/21/2023,1800,,
7/10/2023,7/12/2023,Duval,Glossbrenner,7/12/2023,1730,7/21/2023,1213,,
7/11/2023,7/13/2023,Dewitt,Stevenson,7/13/2023,1700,7/25/2023,900,,
7/11/2023,7/13/2023,Pecos,Lynaugh,7/13/2023,1700,7/16/2023,1700,,
7/11/2023,7/13/2023,Pecos,Ft. Stockton,7/13/2023,1700,7/16/2023,1700,,
7/11/2023,7/13/2023,Bexar,Dominguez,7/13/2023,1500,7/15/2023,1630,,
7/12/2023,7/15/2023,Jefferson,Stiles,7/15/2023,1400,7/24/2023,1700,,
7/12/2023,7/15/2023,Jefferson,LeBlanc,7/15/2023,1400,7/24/2023,1700,,
7/12/2023,7/15/2023,Jefferson,Gist,7/15/2023,1400,7/24/2023,1700,,
7/12/2023,7/15/2023,Brown,Havins,7/15/2023,1630,7/24/2023,1130,,
7/12/2023,7/15/2023,Falls,Hobby,7/15/2023,1630,7/21/2023,945,,
7/12/2023,7/15/2023,Falls,Marlin,7/15/2023,1630,7/21/2023,945,,
7/16/2023,7/19/2023,Burnet,Halbert ,7/19/2023,1640,8/16/2023,1414,,
7/17/2023,7/19/2023,El Paso,Sanchez,7/19/2023,1630,7/21/2023,2130,,
7/17/2023,7/20/2023,Stephens,Sayle,7/20/2023,1830,8/30/2023,2000,,
7/30/2023,8/2/2023,Angelina,Duncan,8/2/2023,800,8/28/2023,1700,,
7/30/2023,8/2/2023,Jasper,Goodman,8/2/2023,900,8/28/2023,1700,,
7/30/2023,8/2/2023,Madison,Ferguson,8/2/2023,900,8/28/2023,1700,,
7/30/2023,8/2/2023,Houston,Wainwright,8/2/2023,900,8/28/2023,1700,,
7/30/2023,8/2/2023,Walker,Byrd,8/2/2023,900,8/28/2023,1700,,
7/30/2023,8/2/2023,Walker,Holliday,8/2/2023,900,8/28/2023,1700,,
7/30/2023,8/2/2023,Walker,Huntsville,8/2/2023,900,8/28/2023,1700,,
8/2/2023,8/2/2023,Walker,Estelle,8/2/2023,900,8/28/2023,1700,,
8/2/2023,8/2/2023,Walker,Goree,8/2/2023,900,8/28/2023,1700,,
8/2/2023,8/2/2023,Walker,Wynne,8/2/2023,900,8/28/2023,1700,,
8/2/2023,8/2/2023,Polk,Polunsky,8/2/2023,900,8/28/2023,1700,,
8/2/2023,8/2/2023,Tyler,Lewis,8/2/2023,916,8/28/2023,1700,,
8/2/2023,8/2/2023,Walker,Ellis,8/2/2023,1018,8/28/2023,1700,,
7/30/2023,8/2/2023,Wichita,Allred,8/2/2023,1500,8/7/2023,1630,,
7/30/2023,8/2/2023,Brown,Havins,8/2/2023,1845,8/29/2023,1700,,
8/3/2023,8/6/2023,Jefferson,Gist,8/6/2023,1400,8/16/2023,1700,,
8/3/2023,8/6/2023,Jefferson,Leblanc,8/6/2023,1400,8/16/2023,1700,,
8/3/2023,8/6/2023,Jefferson,Stiles,8/6/2023,1400,8/16/2023,1700,,
8/4/2023,8/6/2023,Pecos,Lynaugh,8/6/2023,1700,8/14/2023,1500,,
8/4/2023,8/6/2023,Pecos,Fort Stockton,8/6/2023,1700,8/14/2023,1500,,
8/4/2023,8/7/2023,Duval,Glossbrenner,8/7/2023,1230,8/14/2023,1750,,
8/5/2023,8/7/2023,El Paso,Sanchez,8/7/2023,1530,8/11/2023,1430,,
8/4/2023,8/7/2023,Jones ,Middleton,8/7/2023,1840,8/14/2023,1715,,
8/4/2023,8/7/2023,Jones ,Robertson,8/7/2023,1840,8/14/2023,1715,,
8/4/2023,8/7/2023,Fort Bend,Jester III ,8/7/2023,1030,8/16/2023,1700,,
8/4/2023,8/7/2023,Fort Bend,Scott,8/7/2023,1030,8/16/2023,1700,,
8/4/2023,8/7/2023,Fort Bend,Vance,8/7/2023,1030,8/16/2023,1700,,
8/8/2023,8/11/2023,Hidalgo,Lopez ,8/11/2023,1545,8/17/2023,1520,,
8/8/2023,8/11/2023,Hidalgo,Segovia,8/11/2023,1545,8/17/2023,1520,,
8/9/2023,8/11/2023,Mitchell,Wallace ,8/11/2023,1503,8/14/2023,1730,,
8/8/2023,8/11/2023,La Salle,Cotulla,8/11/2023,1510,8/17/2023,800,,
8/8/2023,8/11/2023,Frio,Briscoe,8/11/2023,1510,8/17/2023,800,,
8/9/2023,8/11/2023,Dallas,Hutchins,8/11/2023,1635,8/15/2023,1100,,
8/9/2023,8/11/2023,Karnes,Connally,8/11/2023,1615,8/16/2023,2400,,
8/9/2023,8/12/2023,Brazos,Hamilton,8/12/2023,930,8/16/2023,1414,,
8/17/2023,8/20/2023,Jones ,Middelton,8/20/2023,1630,8/22/2023,1740,,
8/17/2023,8/20/2023,Jones ,Robertson,8/20/2023,1630,8/22/2023,1740,,
8/17/2023,8/19/2023,Dallas,Hutchins,8/19/2023,1615,8/29/2023,700,,
8/17/2023,8/20/2023,Wichita ,Allred,8/20/2023,1400,8/27/2023,1300,,
8/17/2023,8/20/2023,Brazos,Hamilton,8/20/2023,900,8/24/2023,1000,,
8/24/2023,8/27/2023,Brazos,Hamilton,8/27/2023,800,8/29/2023,1700,,
9/5/2023,9/8/2023,Brown,Havins,9/8/2023,1600,9/11/2023,1700,,
